,자치구,행정동,초미세먼지 나쁨 빈도,미세먼지 나쁨 빈도,(초)미세먼지 나쁨 빈도
0,종로구,사직동,115,30,145
1,종로구,삼청동,52,11,63
2,종로구,부암동,76,28,104
3,종로구,평창동,105,41,146
4,종로구,무악동,127,45,172
5,종로구,교남동,61,15,76
6,종로구,가회동,141,76,217
7,종로구,종로1·2·3·4가동,128,53,181
8,종로구,종로5·6가동,90,54,144
9,종로구,이화동,130,60,190
10,종로구,혜화동,77,23,100
11,종로구,창신1동,96,33,129
12,종로구,창신2동,75,34,109
13,종로구,창신3동,75,28,103
14,종로구,숭인1동,127,42,169
15,종로구,숭인2동,99,31,130
16,종로구,청운효자동,58,8,66
17,중구,소공동,117,63,180
18,중구,회현동,120,39,159
19,중구,명동,188,124,312
20,중구,필동,22,4,26
21,중구,장충동,110,60,170
22,중구,광희동,59,17,76
23,중구,을지로동,136,54,190
24,중구,신당5동,69,20,89
25,중구,황학동,12,6,18
26,중구,중림동,36,9,45
27,중구,신당동,18,3,21
28,중구,다산동,98,71,169
29,중구,약수동,26,7,33
30,중구,청구동,62,28,90
31,중구,동화동,52,25,77
32,용산구,후암동,76,21,97
33,용산구,용산2가동,26,13,39
34,용산구,남영동,66,16,82
35,용산구,원효로2동,81,35,117
36,용산구,효창동,50,15,65
37,용산구,용문동,115,40,155
38,용산구,이촌1동,148,78,226
39,용산구,이촌2동,121,47,168
40,용산구,이태원1동,93,31,124
41,용산구,이태원2동,80,37,117
42,용산구,서빙고동,89,38,127
43,용산구,보광동,92,36,128
44,용산구,청파동,62,15,77
45,용산구,원효로1동,81,35,117
46,용산구,한강로동,83,69,152
47,용산구,한남동,179,138,317
48,성동구,왕십리2동,148,85,233
49,성동구,마장동,175,84,259
50,성동구,사근동,80,24,104
51,성동구,행당1동,118,52,170
52,성동구,행당2동,152,85,237
53,성동구,응봉동,120,56,176
54,성동구,금호1가동,227,196,423
55,성동구,금호4가동,1,1,2
56,성동구,성수1가1동,130,82,212
57,성동구,성수1가2동,125,43,168
