자치구,행정동,초미세먼지 나쁨 빈도,미세먼지 나쁨 빈도,(초)미세먼지 나쁨 빈도
종로구,사직동,112,12,124
종로구,삼청동,114,23,137
종로구,부암동,225,153,378
종로구,평창동,189,67,256
종로구,무악동,140,26,166
종로구,교남동,151,77,228
종로구,가회동,158,53,211
종로구,종로1·2·3·4가동,108,12,120
종로구,종로5·6가동,86,6,92
종로구,이화동,142,28,170
종로구,혜화동,129,24,153
종로구,창신1동,93,9,102
종로구,창신2동,113,9,122
종로구,창신3동,96,15,111
종로구,숭인1동,92,6,98
종로구,숭인2동,199,54,253
종로구,청운효자동,22,0,22
중구,소공동,100,31,131
중구,회현동,121,33,154
중구,명동,153,22,175
중구,필동,194,70,264
중구,장충동,104,22,126
중구,광희동,115,10,125
중구,을지로동,233,64,297
중구,신당5동,49,5,54
중구,황학동,132,30,162
중구,중림동,111,11,122
중구,신당동,154,17,171
중구,다산동,130,35,165
중구,약수동,45,0,45
중구,청구동,83,18,101
중구,동화동,52,3,55
용산구,후암동,172,50,222
용산구,용산2가동,78,8,86
용산구,남영동,63,2,65
용산구,원효로2동,127,34,161
용산구,효창동,108,20,128
용산구,용문동,74,14,88
용산구,이촌1동,141,47,188
용산구,이촌2동,132,21,153
용산구,이태원1동,171,44,215
용산구,이태원2동,75,5,80
용산구,서빙고동,124,11,135
용산구,보광동,291,175,466
용산구,청파동,92,6,98
용산구,원효로1동,127,34,161
용산구,한강로동,135,39,174
용산구,한남동,151,40,191
성동구,왕십리2동,102,15,117
성동구,마장동,221,92,313
성동구,사근동,191,63,254
성동구,행당1동,155,36,191
성동구,행당2동,164,41,205
성동구,응봉동,144,33,177
성동구,금호1가동,101,9,110
성동구,금호4가동,117,15,132
성동구,성수1가1동,172,48,220
성동구,성수1가2동,207,88,295
성동구,성수2가1동,175,41,216
성동구,성수2가3동,187,39,226
성동구,송정동,161,33,194
성동구,용답동,240,122,362
성동구,왕십리도선동,139,30,169
성동구,금호2·3가동,117,9,126
성동구,옥수동,129,37,166
광진구,화양동,78,11,89
광진구,군자동,118,10,128
광진구,중곡1동,95,13,108
광진구,중곡2동,117,16,133
광진구,중곡3동,93,9,102
광진구,중곡4동,113,19,132
광진구,능동,40,8,48
광진구,구의1동,44,3,47
광진구,구의2동,131,34,165
광진구,구의3동,142,37,179
광진구,광장동,103,13,116
광진구,자양1동,101,26,127
광진구,자양2동,86,33,119
광진구,자양3동,144,47,191
