자치구,행정동,2020년12월_거주자_연령구간인구수,2021년12월_거주자_연령구간인구수,2022년12월_거주자_연령구간인구수
종로구,사직동,782,745,714
종로구,삼청동,158,153,137
종로구,부암동,798,716,650
종로구,평창동,1607,1590,1522
종로구,무악동,994,939,856
종로구,교남동,1114,1060,1009
종로구,가회동,308,276,262
종로구,종로1·2·3·4가동,248,256,236
종로구,종로5·6가동,167,145,193
종로구,이화동,346,304,287
종로구,혜화동,1014,935,873
종로구,창신1동,189,184,162
종로구,창신2동,353,299,269
종로구,창신3동,533,467,435
종로구,숭인1동,374,331,311
종로구,숭인2동,346,341,314
종로구,청운효자동,1162,1063,1004
중구,소공동,198,203,203
중구,회현동,258,237,242
중구,명동,115,114,111
중구,필동,231,223,220
중구,장충동,242,218,197
중구,광희동,174,172,159
중구,을지로동,63,42,56
중구,신당5동,716,674,645
중구,황학동,869,854,836
중구,중림동,1264,1199,1187
중구,신당동,337,322,306
중구,다산동,791,707,668
중구,약수동,1399,1285,1215
중구,청구동,1004,931,883
중구,동화동,963,878,847
용산구,후암동,1287,1188,1111
용산구,용산2가동,479,432,385
용산구,남영동,250,239,207
용산구,원효로2동,1258,1154,1100
용산구,효창동,975,940,1021
용산구,용문동,995,904,842
용산구,이촌1동,3632,3328,3185
용산구,이촌2동,701,646,601
용산구,이태원1동,294,282,256
용산구,이태원2동,561,513,493
용산구,서빙고동,1146,1090,1049
용산구,보광동,638,562,488
용산구,청파동,934,866,789
용산구,원효로1동,1581,1535,1504
용산구,한강로동,1415,1529,1510
용산구,한남동,1484,1451,1421
성동구,왕십리2동,1531,1466,1460
성동구,마장동,1598,1535,1474
성동구,사근동,549,499,482
성동구,행당1동,1263,1219,1201
성동구,행당2동,2371,2240,2186
성동구,응봉동,1707,1599,1504
성동구,금호1가동,1617,1515,1496
성동구,금호4가동,1715,1608,1544
성동구,성수1가1동,1311,1263,1201
성동구,성수1가2동,1022,910,861
성동구,성수2가1동,1048,941,905
성동구,성수2가3동,736,695,660
성동구,송정동,668,606,557
성동구,용답동,562,489,429
성동구,왕십리도선동,2865,2744,2673
성동구,금호2·3가동,2113,2037,1968
성동구,옥수동,3131,3034,2920
광진구,화양동,528,491,464
광진구,군자동,1184,1089,1011
광진구,중곡1동,973,900,822
광진구,중곡2동,1604,1452,1308
광진구,중곡3동,1005,903,885
광진구,중곡4동,1940,1745,1586
광진구,능동,733,653,639
광진구,구의1동,1135,1013,1223
광진구,구의2동,2362,2262,2068
광진구,구의3동,2549,2385,2314
광진구,광장동,5048,4620,4306
광진구,자양1동,1383,1253,1175
광진구,자양2동,2163,1985,1871
광진구,자양3동,3097,2934,2821
광진구,자양4동,916,884,847
동대문구,회기동,659,586,549
동대문구,휘경1동,972,982,947
동대문구,휘경2동,1804,1654,1517
동대문구,청량리동,1084,988,953
동대문구,용신동,1681,1696,2102
동대문구,제기동,1387,1304,1213
동대문구,전농1동,2375,2254,2105
동대문구,전농2동,1732,1618,1565
동대문구,답십리1동,3340,3278,3123
동대문구,답십리2동,2341,2267,2190
동대문구,장안1동,3315,3116,3045
동대문구,장안2동,3789,3594,3500
동대문구,이문1동,1035,956,879
동대문구,이문2동,1810,1679,1578
중랑구,면목2동,1728,1554,1446
중랑구,면목4동,1393,1345,1296
중랑구,면목5동,1522,1638,1651
중랑구,면목7동,1527,1434,1406
중랑구,상봉1동,2433,2211,2132
중랑구,상봉2동,977,919,946
중랑구,중화1동,1653,1470,1367
중랑구,중화2동,1331,1265,1231
중랑구,묵1동,3268,2987,2780
중랑구,묵2동,1439,1259,1140
중랑구,망우3동,1067,942,851
중랑구,신내1동,4623,4141,3757
중랑구,신내2동,1872,1617,1528
중랑구,면목본동,2071,1839,1757
중랑구,면목3·8동,1474,1342,1234
중랑구,망우본동,1977,2410,3030
성북구,돈암1동,1146,1048,1002
성북구,돈암2동,2909,2666,2550
성북구,안암동,588,561,529
성북구,보문동,1217,1180,1299
성북구,정릉1동,1925,1865,1766
성북구,정릉2동,1988,1850,1744
성북구,정릉3동,843,757,697
성북구,정릉4동,2258,2026,1923
성북구,길음1동,5686,5313,4810
성북구,길음2동,1856,1845,2689
성북구,월곡1동,2870,2655,2446
성북구,월곡2동,1505,1380,1266
성북구,장위1동,1311,2232,2163
성북구,장위2동,828,788,761
성북구,장위3동,2150,2094,2041
성북구,성북동,1064,1003,988
성북구,삼선동,1630,1467,1326
성북구,동선동,801,716,657
성북구,종암동,3737,3500,3268
성북구,석관동,2613,2476,2344
강북구,번1동,948,847,816
강북구,번2동,950,875,765
강북구,번3동,1332,1200,1080
강북구,수유1동,1406,1271,1129
강북구,수유2동,1410,1331,1233
강북구,수유3동,1104,1013,898
강북구,삼양동,1784,1601,1494
강북구,미아동,1152,1027,980
강북구,송중동,2131,1974,1938
강북구,송천동,1447,1320,1218
강북구,삼각산동,4246,3998,3651
강북구,우이동,1513,1406,1272
강북구,인수동,2165,1989,1887
도봉구,쌍문1동,1579,1488,1409
도봉구,쌍문2동,1365,1261,1186
도봉구,쌍문3동,1070,1024,1017
도봉구,쌍문4동,1757,1674,1564
도봉구,방학1동,2135,2020,1885
도봉구,방학2동,1321,1200,1143
도봉구,방학3동,2795,2581,2399
도봉구,창1동,2169,1983,1861
도봉구,창2동,2393,2196,2087
도봉구,창3동,1087,966,887
도봉구,창4동,2473,2304,2136
도봉구,창5동,2068,1895,1775
도봉구,도봉1동,1217,1107,993
도봉구,도봉2동,2113,1957,1859
노원구,월계1동,1678,1506,1383
노원구,월계2동,2317,2120,1997
노원구,월계3동,2899,2731,2513
노원구,공릉2동,4111,4100,4258
노원구,하계1동,1823,1658,1536
노원구,하계2동,2325,2148,1996
노원구,중계본동,2799,2589,2400
노원구,중계1동,3624,3390,3153
노원구,중계4동,1740,1601,1442
노원구,상계1동,3255,2966,2839
노원구,상계2동,1417,1285,1169
노원구,상계5동,1598,1468,1370
노원구,상계8동,3079,2832,2724
노원구,상계9동,1948,1721,1588
노원구,상계10동,1526,1692,1622
노원구,상계3·4동,1942,1841,1682
노원구,상계6·7동,3338,3035,2831
노원구,중계2·3동,2829,2539,2404
노원구,공릉1동,2830,2537,2377
은평구,녹번동,3143,2977,2932
은평구,불광1동,3098,2875,2757
은평구,갈현1동,1352,1246,942
은평구,갈현2동,2171,1951,1821
은평구,구산동,2546,2346,2156
은평구,대조동,1619,1439,1350
은평구,응암1동,2945,3258,3229
은평구,응암2동,3984,3988,3941
은평구,신사1동,2152,1965,1843
은평구,신사2동,1533,1408,1310
은평구,증산동,1084,990,1477
은평구,수색동,829,1092,1168
은평구,진관동,7185,6425,5747
은평구,불광2동,1542,1363,1270
은평구,응암3동,1348,1280,1193
은평구,역촌동,3672,3305,2995
서대문구,천연동,1649,1523,1438
서대문구,홍제1동,2027,1937,2012
서대문구,홍제2동,1123,1018,913
