자치구,행정동,2020년_만65세이상_인구수,2021년_만65세이상_인구수,2022년_만65세이상_인구수
종로구,사직동,1648,1687,1752
종로구,삼청동,582,575,584
종로구,부암동,1694,1740,1772
종로구,평창동,3224,3316,3404
종로구,무악동,1343,1400,1467
종로구,교남동,1524,1582,1629
종로구,가회동,848,839,826
종로구,종로1·2·3·4가동,1583,1613,1618
종로구,종로5·6가동,1041,1024,1027
종로구,이화동,1284,1325,1327
종로구,혜화동,2581,2651,2657
종로구,창신1동,1116,1148,1157
종로구,창신2동,1654,1690,1799
종로구,창신3동,1162,1183,1240
종로구,숭인1동,1139,1166,1195
종로구,숭인2동,1525,1609,1685
종로구,청운효자동,2079,2097,2109
중구,소공동,208,226,242
중구,회현동,1135,1162,1187
중구,명동,656,687,709
중구,필동,757,800,851
중구,장충동,792,830,846
중구,광희동,1050,1045,1069
중구,을지로동,420,416,437
중구,신당5동,1683,1778,1834
중구,황학동,1891,1962,2007
중구,중림동,1955,2001,2128
중구,신당동,1333,1416,1466
중구,다산동,2555,2682,2785
중구,약수동,3638,3753,3941
중구,청구동,2597,2687,2824
중구,동화동,1777,1848,1943
용산구,후암동,2790,2872,2927
용산구,용산2가동,1921,1942,1991
용산구,남영동,1370,1405,1495
용산구,원효로2동,2224,2247,2306
용산구,효창동,1371,1450,1568
용산구,용문동,2019,2093,2149
용산구,이촌1동,4024,3948,4132
용산구,이촌2동,1680,1735,1762
용산구,이태원1동,1277,1277,1261
용산구,이태원2동,1624,1644,1675
용산구,서빙고동,1956,2027,2067
용산구,보광동,2557,2587,2610
용산구,청파동,3078,3139,3185
용산구,원효로1동,1833,1878,1985
용산구,한강로동,2825,2951,3053
용산구,한남동,3241,3356,3476
성동구,왕십리2동,2470,2528,2628
성동구,마장동,3729,3825,4006
성동구,사근동,1430,1442,1498
성동구,행당1동,2044,2107,2171
성동구,행당2동,3651,3806,3971
성동구,응봉동,2434,2469,2519
성동구,금호1가동,2514,2612,2731
성동구,금호4가동,2236,2369,2480
성동구,성수1가1동,2106,2250,2364
성동구,성수1가2동,1847,1911,1943
성동구,성수2가1동,2736,2848,2918
성동구,성수2가3동,1757,1801,1801
성동구,송정동,1676,1774,1831
성동구,용답동,2057,2129,2160
성동구,왕십리도선동,3528,3737,3921
성동구,금호2·3가동,3702,3814,3946
성동구,옥수동,3783,3970,4217
광진구,화양동,2190,2270,2309
광진구,군자동,2853,2970,3149
광진구,중곡1동,2383,2493,2604
광진구,중곡2동,3133,3254,3387
광진구,중곡3동,2718,2803,2920
광진구,중곡4동,4840,5067,5377
광진구,능동,1551,1609,1658
광진구,구의1동,2955,3053,3290
광진구,구의2동,4141,4307,4480
광진구,구의3동,3860,4070,4332
광진구,광장동,3581,3734,3934
광진구,자양1동,3276,3411,3595
광진구,자양2동,3795,3967,4162
광진구,자양3동,3950,4188,4426
광진구,자양4동,3478,3572,3724
동대문구,회기동,1463,1517,1541
동대문구,휘경1동,2034,2075,2151
동대문구,휘경2동,3814,3945,4085
동대문구,청량리동,5061,5162,5409
동대문구,용신동,5408,5616,6053
동대문구,제기동,5527,5689,5794
동대문구,전농1동,5315,5559,5749
동대문구,전농2동,3534,3628,3790
동대문구,답십리1동,3904,4017,4124
동대문구,답십리2동,5343,5517,5747
동대문구,장안1동,6134,6454,6754
동대문구,장안2동,4947,5130,5386
동대문구,이문1동,3065,3100,3176
동대문구,이문2동,3747,3935,4099
중랑구,면목2동,4338,4522,4761
중랑구,면목4동,3564,3779,3899
중랑구,면목5동,2067,2203,2371
중랑구,면목7동,4104,4272,4433
중랑구,상봉1동,3558,3749,3976
중랑구,상봉2동,2856,2937,2976
중랑구,중화1동,3428,3668,3811
중랑구,중화2동,4834,4972,5135
중랑구,묵1동,5625,5854,6118
중랑구,묵2동,3378,3575,3730
중랑구,망우3동,3210,3356,3488
중랑구,신내1동,6536,6775,7189
중랑구,신내2동,3863,4082,4285
중랑구,면목본동,5817,6040,6319
중랑구,면목3·8동,4777,4961,5145
중랑구,망우본동,5762,6131,6790
성북구,돈암1동,2777,2855,2978
성북구,돈암2동,3346,3446,3614
성북구,안암동,2073,2078,2092
성북구,보문동,2287,2346,2557
성북구,정릉1동,2999,3075,3191
성북구,정릉2동,4244,4393,4577
성북구,정릉3동,3162,3220,3355
성북구,정릉4동,4611,4789,4960
성북구,길음1동,4299,4544,4777
성북구,길음2동,2415,2508,3086
성북구,월곡1동,4509,4707,4904
성북구,월곡2동,3491,3570,3696
성북구,장위1동,3558,4004,4171
성북구,장위2동,2983,3076,3122
성북구,장위3동,2254,2091,2173
성북구,성북동,2899,2949,3011
성북구,삼선동,3738,3872,3983
성북구,동선동,2112,2168,2156
성북구,종암동,6379,6682,6944
성북구,석관동,6765,7115,7416
강북구,번1동,3451,3611,3781
강북구,번2동,3897,3976,4097
강북구,번3동,4548,4644,4772
강북구,수유1동,4264,4384,4562
강북구,수유2동,4644,4890,5104
강북구,수유3동,4426,4577,4755
강북구,삼양동,4687,4882,4978
강북구,미아동,4322,4468,4593
강북구,송중동,5752,5902,6162
강북구,송천동,5908,6088,6223
강북구,삼각산동,4219,4471,4694
강북구,우이동,4580,4805,4965
강북구,인수동,6778,6900,7183
도봉구,쌍문1동,4332,4516,4705
도봉구,쌍문2동,3696,3858,4001
도봉구,쌍문3동,3309,3420,3529
도봉구,쌍문4동,2926,3057,3269
도봉구,방학1동,5528,5830,6153
도봉구,방학2동,4167,4353,4571
도봉구,방학3동,4751,5038,5355
도봉구,창1동,4364,4524,4773
도봉구,창2동,5010,5249,5479
도봉구,창3동,2824,2915,3031
도봉구,창4동,4057,4233,4487
도봉구,창5동,4148,4343,4593
도봉구,도봉1동,5497,5737,5900
도봉구,도봉2동,6188,6428,6754
노원구,월계1동,4096,4187,4256
노원구,월계2동,5616,5835,6031
노원구,월계3동,5821,6100,6349
노원구,공릉2동,5089,5486,5898
노원구,하계1동,4289,4461,4677
