자치구,행정동,2022년_만65세이상_인구수
종로구,사직동,1752
종로구,삼청동,584
종로구,부암동,1772
종로구,평창동,3404
종로구,무악동,1467
종로구,교남동,1629
종로구,가회동,826
종로구,종로1·2·3·4가동,1618
종로구,종로5·6가동,1027
종로구,이화동,1327
종로구,혜화동,2657
종로구,창신1동,1157
종로구,창신2동,1799
종로구,창신3동,1240
종로구,숭인1동,1195
종로구,숭인2동,1685
종로구,청운효자동,2109
중구,소공동,242
중구,회현동,1187
중구,명동,709
중구,필동,851
중구,장충동,846
중구,광희동,1069
중구,을지로동,437
중구,신당5동,1834
중구,황학동,2007
중구,중림동,2128
중구,신당동,1466
중구,다산동,2785
중구,약수동,3941
중구,청구동,2824
중구,동화동,1943
용산구,후암동,2927
용산구,용산2가동,1991
용산구,남영동,1495
용산구,원효로2동,2306
용산구,효창동,1568
용산구,용문동,2149
용산구,이촌1동,4132
용산구,이촌2동,1762
용산구,이태원1동,1261
용산구,이태원2동,1675
용산구,서빙고동,2067
용산구,보광동,2610
용산구,청파동,3185
용산구,원효로1동,1985
용산구,한강로동,3053
용산구,한남동,3476
성동구,왕십리2동,2628
성동구,마장동,4006
성동구,사근동,1498
성동구,행당1동,2171
성동구,행당2동,3971
성동구,응봉동,2519
성동구,금호1가동,2731
성동구,금호4가동,2480
성동구,성수1가1동,2364
성동구,성수1가2동,1943
성동구,성수2가1동,2918
성동구,성수2가3동,1801
성동구,송정동,1831
성동구,용답동,2160
성동구,왕십리도선동,3921
성동구,금호2·3가동,3946
성동구,옥수동,4217
광진구,화양동,2309
광진구,군자동,3149
광진구,중곡1동,2604
광진구,중곡2동,3387
광진구,중곡3동,2920
광진구,중곡4동,5377
광진구,능동,1658
광진구,구의1동,3290
광진구,구의2동,4480
광진구,구의3동,4332
광진구,광장동,3934
광진구,자양1동,3595
광진구,자양2동,4162
광진구,자양3동,4426
광진구,자양4동,3724
동대문구,회기동,1541
동대문구,휘경1동,2151
동대문구,휘경2동,4085
동대문구,청량리동,5409
동대문구,용신동,6053
동대문구,제기동,5794
동대문구,전농1동,5749
동대문구,전농2동,3790
동대문구,답십리1동,4124
동대문구,답십리2동,5747
동대문구,장안1동,6754
동대문구,장안2동,5386
동대문구,이문1동,3176
동대문구,이문2동,4099
중랑구,면목2동,4761
중랑구,면목4동,3899
중랑구,면목5동,2371
중랑구,면목7동,4433
중랑구,상봉1동,3976
중랑구,상봉2동,2976
중랑구,중화1동,3811
중랑구,중화2동,5135
중랑구,묵1동,6118
중랑구,묵2동,3730
중랑구,망우3동,3488
중랑구,신내1동,7189
중랑구,신내2동,4285
중랑구,면목본동,6319
중랑구,면목3·8동,5145
중랑구,망우본동,6790
성북구,돈암1동,2978
성북구,돈암2동,3614
성북구,안암동,2092
성북구,보문동,2557
성북구,정릉1동,3191
성북구,정릉2동,4577
성북구,정릉3동,3355
성북구,정릉4동,4960
성북구,길음1동,4777
성북구,길음2동,3086
성북구,월곡1동,4904
성북구,월곡2동,3696
성북구,장위1동,4171
성북구,장위2동,3122
성북구,장위3동,2173
성북구,성북동,3011
성북구,삼선동,3983
성북구,동선동,2156
성북구,종암동,6944
성북구,석관동,7416
강북구,번1동,3781
강북구,번2동,4097
강북구,번3동,4772
강북구,수유1동,4562
강북구,수유2동,5104
강북구,수유3동,4755
강북구,삼양동,4978
강북구,미아동,4593
강북구,송중동,6162
강북구,송천동,6223
강북구,삼각산동,4694
강북구,우이동,4965
강북구,인수동,7183
도봉구,쌍문1동,4705
도봉구,쌍문2동,4001
도봉구,쌍문3동,3529
도봉구,쌍문4동,3269
도봉구,방학1동,6153
도봉구,방학2동,4571
도봉구,방학3동,5355
도봉구,창1동,4773
도봉구,창2동,5479
도봉구,창3동,3031
도봉구,창4동,4487
도봉구,창5동,4593
도봉구,도봉1동,5900
도봉구,도봉2동,6754
노원구,월계1동,4256
노원구,월계2동,6031
노원구,월계3동,6349
노원구,공릉2동,5898
노원구,하계1동,4677
노원구,하계2동,3379
노원구,중계본동,2603
노원구,중계1동,2540
노원구,중계4동,4119
노원구,상계1동,7524
노원구,상계2동,3509
노원구,상계5동,5223
노원구,상계8동,3038
노원구,상계9동,3663
노원구,상계10동,2893
