자치구,행정동,월평균 총승하차승객수,월별일일평균승하차승객수,연일일평균총승하차승객수
강남구,개포1동,120609.0,47991.0,3999.0
강남구,개포2동,242432.0,96396.0,8033.0
강남구,개포3동,46154.0,18370.0,1531.0
강남구,개포4동,227502.0,90568.0,7547.0
강남구,논현1동,531105.0,211409.0,17617.0
강남구,논현2동,387433.0,154233.0,12853.0
강남구,대치1동,422162.0,168061.0,14005.0
강남구,대치2동,529531.0,210819.0,17568.0
강남구,대치4동,377059.0,150102.0,12508.0
강남구,도곡1동,491750.0,195730.0,16311.0
강남구,도곡2동,164213.0,65355.0,5447.0
강남구,삼성1동,517250.0,205943.0,17162.0
강남구,삼성2동,371507.0,147903.0,12325.0
강남구,세곡동,493920.0,196504.0,16375.0
강남구,수서동,288366.0,114738.0,9562.0
강남구,신사동,721831.0,287368.0,23947.0
강남구,압구정동,241799.0,96215.0,8018.0
강남구,역삼1동,988373.0,393443.0,32787.0
강남구,역삼2동,391261.0,155738.0,12978.0
강남구,일원1동,123961.0,49339.0,4112.0
강남구,일원본동,274906.0,109409.0,9117.0
강남구,청담동,560565.0,223171.0,18598.0
강동구,강일동,271369.0,107994.0,8999.0
강동구,고덕1동,80199.0,31905.0,2659.0
강동구,고덕2동,117886.0,46904.0,3909.0
강동구,길동,269777.0,107356.0,8946.0
강동구,둔촌1동,14485.0,5762.0,480.0
강동구,둔촌2동,195984.0,77999.0,6500.0
강동구,명일1동,186489.0,74216.0,6184.0
강동구,명일2동,83817.0,33356.0,2780.0
강동구,상일1동,368762.0,146753.0,12230.0
강동구,상일2동,55601.0,22129.0,1844.0
강동구,성내1동,150027.0,59717.0,4976.0
강동구,성내2동,177477.0,70637.0,5886.0
강동구,성내3동,173613.0,69093.0,5758.0
강동구,암사1동,249825.0,99423.0,8285.0
강동구,암사2동,2036.0,810.0,68.0
강동구,암사3동,29633.0,11787.0,982.0
강동구,천호1동,90976.0,36196.0,3016.0
강동구,천호2동,285937.0,113793.0,9483.0
강동구,천호3동,127375.0,50693.0,4224.0
강북구,미아동,24717.0,9831.0,819.0
강북구,번1동,778525.0,309718.0,25810.0
강북구,번2동,234659.0,93342.0,7778.0
강북구,번3동,286896.0,114093.0,9508.0
강북구,삼각산동,201722.0,80246.0,6687.0
강북구,삼양동,174887.0,69554.0,5796.0
강북구,송중동,1106202.0,440106.0,36676.0
강북구,송천동,485839.0,193266.0,16106.0
