자치구,행정동,지체,시각,합계
종로구,사직동,111,29,140
종로구,삼청동,40,14,54
종로구,부암동,116,42,158
종로구,평창동,204,59,263
종로구,무악동,112,48,160
종로구,교남동,144,34,178
종로구,가회동,70,15,85
종로구,종로1·2·3·4가동,386,96,482
종로구,종로5·6가동,386,96,482
종로구,이화동,151,30,181
종로구,혜화동,235,51,286
종로구,창신1동,119,22,141
종로구,창신2동,220,65,285
종로구,창신3동,163,32,195
종로구,숭인1동,132,24,156
종로구,숭인2동,187,48,235
종로구,청운효자동,152,96,248
중구,소공동,11,5,16
중구,회현동,107,57,164
중구,명동,43,27,70
중구,필동,68,31,99
중구,장충동,83,20,103
중구,광희동,99,23,122
중구,을지로동,42,11,53
중구,신당5동,232,45,277
중구,황학동,222,56,278
중구,중림동,220,74,294
중구,신당동,181,46,227
중구,다산동,272,80,352
중구,약수동,356,110,466
중구,청구동,275,69,344
중구,동화동,200,35,235
용산구,후암동,280,84,364
용산구,용산2가동,186,47,233
용산구,남영동,188,79,267
용산구,원효로2동,190,60,250
용산구,효창동,138,39,177
용산구,용문동,182,45,227
용산구,이촌1동,183,57,240
용산구,이촌2동,161,38,199
용산구,이태원1동,91,16,107
용산구,이태원2동,140,36,176
용산구,서빙고동,152,36,188
용산구,보광동,247,80,327
용산구,청파동,333,107,440
용산구,원효로1동,171,62,233
용산구,한강로동,225,68,293
용산구,한남동,278,72,350
성동구,왕십리2동,270,63,333
성동구,마장동,501,85,586
성동구,사근동,184,30,214
성동구,행당1동,204,49,253
성동구,행당2동,355,98,453
성동구,응봉동,221,57,278
성동구,금호1가동,295,73,368
성동구,금호4가동,212,55,267
성동구,성수1가1동,260,65,325
성동구,성수1가2동,205,40,245
성동구,성수2가1동,358,68,426
성동구,성수2가3동,179,42,221
성동구,송정동,223,50,273
성동구,용답동,258,54,312
성동구,왕십리도선동,406,118,524
성동구,금호2·3가동,386,96,482
성동구,옥수동,318,72,390
광진구,화양동,246,65,311
광진구,군자동,358,75,433
광진구,중곡1동,285,69,354
광진구,중곡2동,378,91,469
광진구,중곡3동,344,74,418
광진구,중곡4동,580,124,704
광진구,능동,158,52,210
광진구,구의1동,341,105,446
광진구,구의2동,463,114,577
광진구,구의3동,337,78,415
광진구,광장동,300,88,388
광진구,자양1동,390,106,496
광진구,자양2동,398,96,494
광진구,자양3동,333,78,411
광진구,자양4동,397,87,484
동대문구,회기동,129,24,153
동대문구,휘경1동,232,51,283
동대문구,휘경2동,404,84,488
동대문구,청량리동,567,124,691
동대문구,용신동,708,138,846
동대문구,제기동,624,133,757
동대문구,전농1동,648,147,795
동대문구,전농2동,404,80,484
동대문구,답십리1동,453,105,558
동대문구,답십리2동,637,161,798
동대문구,장안1동,747,148,895
동대문구,장안2동,592,127,719
동대문구,이문1동,333,67,400
동대문구,이문2동,472,94,566
중랑구,면목2동,581,139,720
중랑구,면목4동,552,111,663
중랑구,면목5동,281,67,348
중랑구,면목7동,476,112,588
중랑구,상봉1동,577,136,713
중랑구,상봉2동,345,106,451
중랑구,중화1동,427,83,510
중랑구,중화2동,664,164,828
중랑구,묵1동,658,158,816
중랑구,묵2동,412,95,507
중랑구,망우3동,439,111,550
중랑구,신내1동,869,176,1045
중랑구,신내2동,656,128,784
중랑구,면목본동,821,171,992
중랑구,면목3·8동,386,96,482
중랑구,망우본동,860,187,1047
성북구,돈암1동,260,65,325
성북구,돈암2동,272,76,348
성북구,안암동,209,59,268
성북구,보문동,271,76,347
성북구,정릉1동,280,79,359
성북구,정릉2동,402,105,507
성북구,정릉3동,316,55,371
성북구,정릉4동,456,124,580
성북구,길음1동,420,124,544
성북구,길음2동,336,81,417
성북구,월곡1동,508,116,624
성북구,월곡2동,408,83,491
성북구,장위1동,496,130,626
성북구,장위2동,302,68,370
