자치구,행정동,폭염빈도,폭염강도
종로구,사직동,31,5.0
종로구,삼청동,66,5.3
종로구,부암동,36,4.9
종로구,평창동,36,4.8
종로구,무악동,48,5.6
종로구,교남동,33,4.6
종로구,가회동,62,5.2
종로구,종로1·2·3·4가동,31,4.7
종로구,종로5·6가동,28,3.9
종로구,이화동,46,5.1
종로구,혜화동,61,5.2
종로구,창신1동,37,4.6
종로구,창신2동,53,5.4
종로구,창신3동,55,4.9
종로구,숭인1동,36,5.0
종로구,숭인2동,52,5.3
종로구,청운효자동,43,4.8
중구,소공동,31,4.6
중구,회현동,27,4.0
중구,명동,34,5.0
중구,필동,29,4.7
중구,장충동,31,5.1
중구,광희동,28,4.5
중구,을지로동,42,4.9
중구,신당5동,26,4.1
중구,황학동,27,4.3
중구,중림동,19,3.9
중구,신당동,27,4.3
중구,다산동,28,3.9
중구,약수동,29,3.8
중구,청구동,36,4.9
중구,동화동,29,4.8
용산구,후암동,28,3.8
용산구,용산2가동,30,4.6
용산구,남영동,27,3.6
용산구,원효로2동,34,4.6
용산구,효창동,31,4.8
용산구,용문동,27,3.5
용산구,이촌1동,34,4.9
용산구,이촌2동,28,4.4
용산구,이태원1동,28,4.0
용산구,이태원2동,33,5.1
용산구,서빙고동,31,4.7
용산구,보광동,30,3.6
용산구,청파동,35,5.0
용산구,원효로1동,30,4.8
용산구,한강로동,34,5.0
용산구,한남동,32,4.3
성동구,왕십리2동,30,4.5
성동구,마장동,45,5.1
성동구,사근동,34,5.0
성동구,행당1동,30,4.4
성동구,행당2동,31,4.5
성동구,응봉동,31,4.4
성동구,금호1가동,47,5.1
성동구,금호4가동,26,4.2
성동구,성수1가1동,36,4.8
성동구,성수1가2동,41,5.4
성동구,성수2가1동,32,4.8
성동구,성수2가3동,32,4.7
성동구,송정동,35,4.8
성동구,용답동,32,4.5
성동구,왕십리도선동,34,5.0
성동구,금호2·3가동,34,4.8
성동구,옥수동,28,4.8
광진구,화양동,29,4.8
광진구,군자동,32,5.0
광진구,중곡1동,32,4.9
광진구,중곡2동,34,5.1
광진구,중곡3동,35,5.0
광진구,중곡4동,34,4.9
광진구,능동,29,3.5
광진구,구의1동,29,4.0
광진구,구의2동,38,5.0
광진구,구의3동,29,4.1
광진구,광장동,25,3.5
광진구,자양1동,33,4.5
광진구,자양2동,25,3.3
광진구,자양3동,42,5.2
광진구,자양4동,25,3.6
동대문구,회기동,25,3.9
동대문구,휘경1동,22,3.3
동대문구,휘경2동,27,4.1
동대문구,청량리동,37,5.0
동대문구,용신동,35,4.9
동대문구,제기동,28,3.4
동대문구,전농1동,29,4.5
동대문구,전농2동,31,5.0
동대문구,답십리1동,28,4.4
동대문구,답십리2동,25,3.7
동대문구,장안1동,32,4.5
동대문구,장안2동,30,4.2
동대문구,이문1동,26,3.8
동대문구,이문2동,26,3.8
중랑구,면목2동,26,4.3
중랑구,면목4동,25,3.1
중랑구,면목5동,27,3.7
중랑구,면목7동,26,4.0
중랑구,상봉1동,25,4.1
중랑구,상봉2동,31,4.8
중랑구,중화1동,28,5.0
중랑구,중화2동,29,4.3
중랑구,묵1동,26,3.8
중랑구,묵2동,51,5.0
중랑구,망우3동,29,4.2
중랑구,신내1동,28,4.5
중랑구,신내2동,27,4.4
중랑구,면목본동,38,5.2
중랑구,면목3·8동,39,5.2
중랑구,망우본동,31,5.1
성북구,돈암1동,28,4.6
성북구,돈암2동,17,2.1
성북구,안암동,22,3.0
성북구,보문동,24,2.9
성북구,정릉1동,25,4.2
성북구,정릉2동,20,1.9
성북구,정릉3동,25,3.4
성북구,정릉4동,27,3.7
성북구,길음1동,33,5.0
성북구,길음2동,30,4.1
성북구,월곡1동,37,4.8
성북구,월곡2동,28,4.1
성북구,장위1동,25,3.6
성북구,장위2동,36,5.0
성북구,장위3동,26,4.0
성북구,성북동,28,4.2
성북구,삼선동,25,3.7
성북구,동선동,62,5.2
성북구,종암동,25,4.2
성북구,석관동,24,4.6
강북구,번1동,29,3.9
강북구,번2동,41,5.1
강북구,번3동,26,3.6
강북구,수유1동,34,4.4
강북구,수유2동,27,3.8
강북구,수유3동,22,3.1
강북구,삼양동,26,4.0
강북구,미아동,25,3.6
강북구,송중동,41,5.3
강북구,송천동,29,3.8
강북구,삼각산동,18,2.0
강북구,우이동,30,4.3
강북구,인수동,25,4.2
도봉구,쌍문1동,26,3.6
도봉구,쌍문2동,30,4.2
도봉구,쌍문3동,29,4.6
도봉구,쌍문4동,34,5.0
도봉구,방학1동,27,4.2
도봉구,방학2동,26,4.2
도봉구,방학3동,37,4.9
도봉구,창1동,27,3.8
도봉구,창2동,35,5.1
도봉구,창3동,48,5.1
도봉구,창4동,32,4.4
도봉구,창5동,30,4.7
도봉구,도봉1동,34,5.0
도봉구,도봉2동,27,3.8
노원구,월계1동,26,3.6
노원구,월계2동,26,4.3
노원구,월계3동,21,2.6
노원구,공릉2동,30,4.6
노원구,하계1동,27,3.8
노원구,하계2동,27,3.7
노원구,중계본동,28,3.8
노원구,중계1동,20,2.6
노원구,중계4동,32,4.9
노원구,상계1동,34,4.0
노원구,상계2동,38,4.9
노원구,상계5동,33,4.4
노원구,상계8동,23,3.1
노원구,상계9동,26,3.9
노원구,상계10동,29,4.0
노원구,상계3·4동,25,4.5
노원구,상계6·7동,28,3.6
노원구,중계2·3동,27,3.8
노원구,공릉1동,36,5.1
은평구,녹번동,28,4.8
은평구,불광1동,29,4.5
은평구,갈현1동,24,3.6
은평구,갈현2동,35,5.2
은평구,구산동,27,3.6
은평구,대조동,32,4.9
은평구,응암1동,28,4.3
은평구,응암2동,25,4.8
은평구,신사1동,27,4.3
은평구,신사2동,25,3.6
은평구,증산동,30,3.7
은평구,수색동,26,4.3
은평구,진관동,28,4.7
은평구,불광2동,29,4.7
은평구,응암3동,28,4.2
은평구,역촌동,33,4.8
서대문구,천연동,24,3.1
서대문구,홍제1동,29,4.1
서대문구,홍제2동,29,4.2
서대문구,홍제3동,37,5.4
서대문구,홍은1동,27,3.9
서대문구,홍은2동,29,4.1
서대문구,남가좌1동,28,4.2
서대문구,남가좌2동,34,4.7
서대문구,북가좌1동,25,3.7
서대문구,북가좌2동,27,4.2
서대문구,충현동,29,3.8
서대문구,북아현동,38,4.8
서대문구,신촌동,37,4.9
서대문구,연희동,23,4.2
마포구,용강동,33,5.1
마포구,대흥동,34,4.5
마포구,염리동,32,4.5
마포구,신수동,29,4.7
마포구,서교동,39,4.9
마포구,합정동,36,5.5
마포구,망원1동,46,5.1
마포구,망원2동,46,5.4
마포구,연남동,37,5.1
마포구,성산1동,41,5.1
마포구,성산2동,30,4.7
마포구,상암동,35,5.2
마포구,도화동,29,4.8
마포구,서강동,31,4.7
마포구,공덕동,42,5.4
마포구,아현동,28,4.0
양천구,목1동,31,4.4
양천구,목2동,35,4.7
양천구,목3동,31,4.6
양천구,목4동,34,5.0
양천구,목5동,29,4.4
양천구,신월1동,31,4.7
양천구,신월2동,29,4.5
양천구,신월3동,29,4.2
양천구,신월4동,36,5.1
양천구,신월5동,29,3.8
양천구,신월6동,21,2.5
양천구,신월7동,37,5.1
양천구,신정1동,35,4.2
양천구,신정2동,34,4.6
양천구,신정4동,62,5.4
양천구,신정3동,34,4.7
양천구,신정6동,27,3.7
양천구,신정7동,29,4.3
강서구,염창동,30,4.3
강서구,등촌1동,24,2.8
강서구,등촌2동,26,3.9
강서구,등촌3동,25,3.6
강서구,화곡본동,29,4.7
강서구,화곡2동,48,5.0
강서구,화곡3동,30,4.2
강서구,화곡4동,29,4.8
강서구,화곡6동,32,5.2
강서구,화곡8동,26,3.6
강서구,가양1동,30,4.4
강서구,가양2동,27,4.0
강서구,가양3동,29,4.0
강서구,발산1동,27,3.7
강서구,공항동,37,4.7
강서구,방화1동,36,4.9
강서구,방화2동,42,6.0
강서구,방화3동,33,4.7
강서구,화곡1동,34,4.7
강서구,우장산동,35,4.7
구로구,신도림동,30,4.1
구로구,구로1동,35,4.5
구로구,구로2동,37,4.8
구로구,구로3동,35,4.8
구로구,구로4동,35,4.9
구로구,구로5동,61,5.1
구로구,고척1동,27,3.7
구로구,고척2동,28,4.1
구로구,개봉2동,35,4.8
구로구,개봉3동,27,3.3
구로구,오류1동,28,3.6
구로구,오류2동,26,3.1
구로구,수궁동,28,4.5
구로구,가리봉동,28,4.3
구로구,개봉1동,32,4.7
구로구,항동,22,2.8
금천구,가산동,34,4.7
금천구,독산1동,33,4.7
금천구,독산2동,33,5.0
금천구,독산3동,29,4.8
금천구,독산4동,65,5.3
금천구,시흥1동,26,3.4
금천구,시흥2동,29,3.9
금천구,시흥3동,27,5.1
금천구,시흥4동,28,4.4
금천구,시흥5동,30,4.2
영등포구,여의동,26,3.2
영등포구,당산1동,38,5.0
영등포구,당산2동,56,5.0
영등포구,양평1동,30,4.6
영등포구,양평2동,27,4.1
영등포구,신길1동,26,3.5
